Time,Source,Destination,Protocol,Status
14:33:56,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:56,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:56,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:56,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:56,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:56,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:56,10.78.150.79,34.139.124.58,6,✅ Normal
14:33:56,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:56,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:57,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:57,34.139.124.58,10.78.150.79,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,10.78.150.79,20.50.201.201,6,✅ Normal
14:33:57,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:57,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:58,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:58,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:58,10.78.150.79,20.50.201.201,6,✅ Normal
14:33:58,10.78.150.79,20.50.201.201,6,✅ Normal
14:33:58,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:58,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:58,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:58,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:58,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:58,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:58,10.78.150.79,20.50.201.201,6,✅ Normal
14:33:58,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:58,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:58,10.78.150.79,20.50.201.201,6,✅ Normal
14:33:58,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:58,10.78.150.79,20.50.201.201,6,✅ Normal
14:33:58,10.78.150.79,20.50.201.201,6,✅ Normal
14:33:58,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:58,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:58,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:58,10.78.150.79,20.50.201.201,6,✅ Normal
14:33:58,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:58,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:58,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:59,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:59,135.233.45.221,10.78.150.79,6,✅ Normal
14:33:59,10.78.150.79,135.233.45.221,6,✅ Normal
14:33:59,20.50.201.201,10.78.150.79,6,✅ Normal
14:33:59,10.78.150.79,20.50.201.201,6,✅ Normal
14:34:00,10.78.150.79,10.78.150.254,17,✅ Normal
14:34:01,10.78.150.79,10.78.150.254,17,✅ Normal
